URL, Stars, Commits, Branches, Forks, Open Issues
https://github.com/Unity-Technologies/VRAlchemyLab, 288, 424, 0, 86, 0
https://github.com/Priyanshu-CODERX/Unity-XR-Interaction-Toolkit-VR-Mechanisms, 22, 27, 0, 4, 0
https://github.com/hpcvis/MuVR, 14, 158, 0, 7, 0
https://github.com/dilmerv/XRToolkitMVP, 13, 65, 0, 5, 1
https://github.com/ahmedawwan/unity-human-anatomy-AR, 13, 3, 0, 1, 0
https://github.com/vr4vet/vr4vet, 11, 336, 0, 3, 56
https://github.com/BernwardWeigand/UnityUIToolkitXRAdapter, 11, 71, 0, 0, 0
https://github.com/digitalplusplus/BaM-Construct, 11, 54, 0, 3, 2
https://github.com/dilmerv/NextMindDemos, 11, 23, 0, 2, 0
https://github.com/yayuniversal/First-Virtual-Dive, 8, 266, 0, 0, 0
https://github.com/dscpesu/EscapeQuest, 8, 86, 0, 6, 1
https://github.com/maslychm/vr_selection, 7, 362, 0, 0, 1
https://github.com/PontusAhlin/HorrorGame, 6, 819, 0, 2, 10
https://github.com/oscardelgado02/AI-NPC-in-VR-Prototype, 6, 32, 0, 0, 0
https://github.com/UFMiDAS2020/WizardsChess, 6, 18, 0, 0, 0
https://github.com/jhnlrdrnl/Furnia, 6, 7, 0, 0, 0
https://github.com/AmirMizrahi/CanShootingVR, 5, 8, 0, 1, 1
https://github.com/chubozeko/The-Art-Inspector, 5, 4, 0, 0, 0
https://github.com/Chgv99/wind-turbine-vr, 4, 434, 0, 0, 16
https://github.com/eisclimber/ExPresS-XR, 4, 278, 0, 2, 3
https://github.com/ShutovKS/EndlessDungeon, 4, 60, 0, 2, 0
https://github.com/Marchingegno/5A-Prototype-VR, 4, 56, 0, 1, 0
https://github.com/Volorf/XR-Emitter, 4, 46, 0, 1, 0
https://github.com/AdrianoVM/CSAssessmentFramework, 4, 39, 0, 1, 2
https://github.com/ShutovKS/Graveyard-Roller-Coaster, 3, 22, 0, 1, 0
https://github.com/VR-Tours/Majuli-Tour, 3, 17, 0, 2, 0
https://github.com/nicolaspenagos/snake-game-VR, 3, 10, 0, 2, 1
https://github.com/jhnlrdrnl/Meshure, 3, 9, 0, 0, 0
https://github.com/NeuroNine/VR-Teleport-Rotation, 3, 6, 0, 1, 0
https://github.com/itspitaman/VR-Tactical-Hero-Shooter, 3, 2, 0, 0, 0
https://github.com/studentutu/pico_xr_vrtk_4_tillia_superhot, 3, 2, 0, 1, 1
https://github.com/szejkerek/PirateRushVR, 2, 384, 0, 0, 0
https://github.com/JoaquinSuarezVallejos/Dimensional-Mayhem, 2, 230, 0, 0, 0
https://github.com/B22DigitalTwins2022/ar-resilience-planner-v2, 2, 135, 0, 0, 0
https://github.com/MaxVRAM/plane-waver, 2, 89, 0, 0, 0
https://github.com/grogorick/DigitalMirrorChamber, 2, 71, 0, 0, 0
https://github.com/SGAGroup/Let-s-Talk-About-Safety-VR, 2, 56, 0, 0, 0
https://github.com/oscardelgado02/VR-Unity-Template, 2, 29, 0, 0, 0
https://github.com/shanepack/XRSpaceGame, 2, 17, 0, 0, 0
https://github.com/williamdsw/classroom-vr, 2, 17, 0, 0, 0
https://github.com/ShabanDev-47/GAS_VR, 2, 15, 0, 0, 0
https://github.com/anddegilevich/CPRSimulator, 2, 15, 0, 0, 0
https://github.com/n1ckfg/UnityOpenXR_Example, 2, 14, 0, 0, 0
https://github.com/CarouselDancing/dancegraph-unity, 2, 8, 0, 0, 0
https://github.com/andresilmor/Interaction-with-360-Hotspot-dynamically-created-in-Virtual-Reality-by-reading-a-JSON-file, 2, 7, 0, 0, 0
https://github.com/AlfafaWolf/VR-Workshop, 2, 4, 0, 0, 0
https://github.com/pinglis/OculusVRHands, 2, 4, 0, 0, 0
https://github.com/Shounary/LightDiskVR, 1, 469, 0, 15, 0
https://github.com/dtomschitz/space-invaders-vr, 1, 249, 0, 0, 0
https://github.com/GatienVilain/EscapeGameVR, 1, 218, 0, 1, 0
https://github.com/laironcosta1994/TLabWebViewVR, 1, 158, 0, 0, 0
https://github.com/NeonVhenan/Arcadium, 1, 118, 0, 1, 0
https://github.com/J-Scan/MRIExperience, 1, 116, 0, 0, 0
https://github.com/France30/GOON, 1, 92, 0, 0, 0
https://github.com/rwthlfi/vr-brush, 1, 91, 0, 0, 10
https://github.com/LingoTabback/SolarSystemExplorer, 1, 78, 0, 0, 0
https://github.com/LeonardoGuths/vr-handwriting, 1, 68, 0, 1, 0
https://github.com/AbdennourHsn/Vr-Polyhistory, 1, 64, 0, 0, 0
https://github.com/bright-mind-studios/project-god-hammer, 1, 62, 0, 0, 2
https://github.com/JulianCatnip/stealth-game-vr, 1, 55, 0, 0, 0
https://github.com/JoaoMoraesJr/Island-Visualizer-PCVR, 1, 51, 0, 0, 0
https://github.com/TheoCrd/La-volonte-de-fer, 1, 47, 0, 1, 0
https://github.com/lakshmi930/Level0, 1, 39, 0, 0, 0
https://github.com/Metagawa/Grapple-Gunner, 1, 38, 0, 0, 0
https://github.com/lucafro/SpatialAudioFields, 1, 27, 0, 0, 0
https://github.com/jordansmithsgames/WizardsChess, 1, 24, 0, 0, 0
https://github.com/erbilnas/spaceflash, 1, 23, 0, 0, 0
https://github.com/gromperen/VRChess, 1, 20, 0, 1, 0
https://github.com/pedromourente/wheelchair-sim, 1, 17, 0, 0, 0
https://github.com/y-team6/the-hole, 1, 16, 0, 0, 0
https://github.com/Dikarkik/0x0B-unity-vr_room, 1, 15, 0, 0, 0
https://github.com/isabelcoboruizazuaga/BowlingVR, 1, 15, 0, 0, 0
https://github.com/moha-b/VR, 1, 15, 0, 0, 0
https://github.com/MattBoard/Unity-VRTemplate1-KUIL, 1, 14, 0, 0, 0
https://github.com/Shounary/Project-ECHO, 1, 11, 0, 0, 0
https://github.com/dedovskaya/PaperVision, 1, 11, 0, 0, 0
https://github.com/joedlopes/simon-says-vr, 1, 11, 0, 0, 0
https://github.com/fcbg-platforms/VR-Environment-GenAI-Unity, 1, 9, 0, 0, 0
https://github.com/Tonheim-Halvorsen-Unity-Development/Edutainment-Escape-Room, 1, 8, 0, 0, 0
https://github.com/matpetrone/HyperFightVR, 1, 7, 0, 0, 0
https://github.com/aarindave/Redove, 1, 6, 0, 0, 0
https://github.com/alexisseurin/6-Unity-VR-FactoryFrenzy, 1, 6, 0, 0, 0
https://github.com/dedovskaya/Tam-VR, 1, 6, 0, 0, 0
https://github.com/THE-PRG/VR-Bowling, 1, 5, 0, 0, 0
https://github.com/andresilmor/EsACT-IPB-Tour-VR-Project, 1, 5, 0, 0, 0
https://github.com/andresilmor/Gaze-focus-detection-on-360-image-elements-in-Virtual-Reality, 1, 5, 0, 0, 0
https://github.com/sarasmajic/Modern-Cupid-VR, 1, 5, 0, 0, 0
https://github.com/Carolina-Riddick/Parkinson-App-Virtual-Reality, 1, 4, 0, 0, 0
https://github.com/Carolina-Riddick/Parkinson-App-Virtual-Reality/tree/main/Packages, 1, 4, 0, 0, 0
https://github.com/keerthan657/Faraday-experiment-VR, 1, 4, 0, 0, 0
https://github.com/sthompson717/Unity-VR-Beat-Saber-Style-Game, 1, 4, 0, 0, 0
https://github.com/abmami/Fruit-Ninja-VR-Unity, 1, 3, 0, 2, 0
https://github.com/init-Sense/visio, 1, 3, 0, 0, 0
https://github.com/itspitaman/VR-Hero-Shooter-Controller, 1, 3, 0, 0, 0
https://github.com/MYSTELTAiNNOfficial/Virtual-Classroom-Public, 1, 2, 0, 0, 0
https://github.com/itspitaman/Kindled-Spirits-VR, 1, 2, 0, 0, 0
https://github.com/jeffrafter/unity-basic-xr-template, 1, 2, 0, 1, 0
https://github.com/tiago-xavier-braga/DrumsVR, 1, 2, 0, 0, 0
https://github.com/stephanoapiolaza/Getting-Started-for-Oculus-Quest-2-2, 1, 1, 0, 0, 0
https://github.com/The64thGamer/Min-Max, 0, 633, 0, 1, 0
https://github.com/AmyE123/Orb-Odyssey, 0, 562, 0, 0, 0
https://github.com/mta211041/neanderthal-tools, 0, 528, 0, 2, 0
https://github.com/jordansmithsgames/VRobot, 0, 296, 0, 0, 0
https://github.com/ACROSS-Lab/Rac-VR, 0, 244, 0, 0, 0
https://github.com/BPR2XRD/bpr2, 0, 244, 0, 0, 0
https://github.com/sp8cky/TowerDefenseVR, 0, 146, 0, 0, 0
https://github.com/ForzaMark/freiheit-diy, 0, 120, 0, 0, 0
https://github.com/KihiraLove/Szakdoga, 0, 101, 0, 0, 0
https://github.com/PaulDebril/Space-Odyssey, 0, 82, 0, 0, 0
https://github.com/enesbunyamincelik/VR-Learning-Tutorial-Unity, 0, 56, 0, 1, 0
https://github.com/Gaurang-1402/Alexandria, 0, 52, 0, 0, 0
https://github.com/Lycoon/bworkacikart, 0, 52, 0, 0, 0
https://github.com/isabelcoboruizazuaga/VREscapeDungeon, 0, 48, 0, 0, 0
https://github.com/niocio01/VRCAD, 0, 48, 0, 0, 0
https://github.com/MystiMiki/VR-cognitive-therapy, 0, 46, 0, 1, 0
